Unnamed: 0,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner,keyword,id,id_mod,id_mod2
9555,3220000-101-2021-01195,20211007,영업/정상,19.16,135917,서울특별시 강남구 역삼동 699-21 ,서울 강남구 언주로98길 21,착한국밥&덮밥,한식,203785.897366183,444749.786103707,,,역삼동,,착한국밥&덮밥,, , 
9556,3220000-101-2021-01198,20211007,영업/정상,13.20,135835,서울특별시 강남구 대치동 316 은마아파트 ,서울 강남구 삼성로 212,속시원카페,기타,205707.089399978,443914.194133105,,,대치동,,속시원카페,, , 
9557,3220000-101-2021-01200,20211008,영업/정상,112.32,135855,서울특별시 강남구 도곡동 457-6 ,서울 강남구 논현로26길 46-12,솔레라,경양식,204023.766165027,442350.341641721,,,도곡동,,솔레라,['715000868'],1350720805,1350720805
9558,3220000-101-2021-01201,20211008,영업/정상,104.44,135870,서울특별시 강남구 삼성동 58-2 청담역 푸르지오시티,서울 강남구 영동대로 647,암소집,패밀리레스트랑,204936.566579531,446389.869325086,,,삼성동,,암소집,['1714752446'],393023352,393023352
9559,3220000-101-2021-01205,20211012,영업/정상,23.01,135953,서울특별시 강남구 청담동 73 진흥아파트 ,서울 강남구 학동로 513,코코앤빈스(coco n' beans),기타,204692.392446292,446410.695637969,,,청담동,,코코앤빈스,['1238633877'],2139574968,2139574968
9560,3220000-101-2021-01206,20211012,영업/정상,134.26,135830,서울특별시 강남구 논현동 242-40 ,서울 강남구 선릉로127길 11,메가라운지,기타,203545.796402671,445910.212496746,,,논현동,,메가라운지,['1824483029'],802933416,802933416
9561,3220000-101-2021-01211,2021-10-12,영업/정상,148.80,135-832,서울특별시 강남구 논현동 254-11 대훈빌딩,서울 강남구 선릉로 649,청담보쌈,한식,203643.114728555,445808.135716293,,,논현동,,청담보쌈,['842254000'],380551751,380551751
9562,3220000-101-2021-01212,2021-10-12,영업/정상,80.00,135-843,서울특별시 강남구 대치동 923-32,서울 강남구 선릉로64길 15-11,리즈소바,일식,204628.230826731,444062.85680248,,,대치동,,리즈소바,,1512842466,1512842466
9563,3220000-101-2021-01213,20211012,영업/정상,24.85,135569,서울특별시 강남구 역삼동 834-4 ,서울 강남구 역삼로8길 5,크로플 바베큐 버거,한식,202917.564846765,443499.156187577,,,역삼동,,크로플 바베큐 버거,['332675034'], , 
9564,3220000-101-2021-01214,20211012,영업/정상,86.58,135908,서울특별시 강남구 역삼동 635-13 ,서울 강남구 강남대로94길 27,마유유 강남역점,중국식,202534.753331227,444185.788336022,,,역삼동,,마유유 강남역,,67565937,67565937
