,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner
0,3220000-101-1007-00001,19970205,영업/정상,,135954,서울특별시 강남구 청담동 88-5번지 ,서울특별시 강남구 도산대로55길 20 (청담동),배초향,한식,203520.881091068    ,446950.285626122    ,,,청담동,
1,3220000-101-1899-20451,19991005,영업/정상,950.66,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 1층 (삼성동, 인터컨티넨탈 서울 코엑스)",브래서리,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,모범식당지정
2,3220000-101-1899-20453,19991005,영업/정상,473.24,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 1층 (삼성동, 인터컨티넨탈 서울 코엑스)",로비라운지,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,
3,3220000-101-1899-20463,19991006,영업/정상,282.59,135090,서울특별시 강남구 삼성동 159 ,"서울특별시 강남구 봉은사로 524, 지상1층 (삼성동, 코엑스인터컨티넨탈서울)",로비바,경양식,205130.591678902    ,445590.096837802    ,기타,상수도전용,삼성동,
4,3220000-101-1899-20500,19991012,영업/정상,"1,157.90",135873,서울특별시 강남구 삼성동 109-6 ,서울특별시 강남구 봉은사로 637 (삼성동),노블발렌티,한식,205662.873885873    ,445913.719788498    ,결혼예식장주변,상수도전용,삼성동,
5,3220000-101-1911-16480,19110528,영업/정상,90.75,135957,서울특별시 강남구 청담동 126-6번지 ,서울특별시 강남구 압구정로79길 47 (청담동),골목식당,한식,204438.362727813    ,447036.905426773    ,주택가주변,상수도전용,청담동,
6,3220000-101-1976-17313,19760724,영업/정상,39.26,135822,서울특별시 강남구 논현동 141-17번지 ,서울특별시 강남구 학동로4길 8 (논현동),용삼계탕,한식,201950.963698517    ,445408.624669046    ,주택가주변,상수도전용,논현동,
7,3220000-101-1976-17996,19761223,영업/정상,50.24,135887,서울특별시 강남구 신사동 502-11번지 ,서울특별시 강남구 강남대로 620 (신사동),원해분식,한식,201684.704785227    ,446105.858997581    ,주택가주변,상수도전용,신사동,
8,3220000-101-1978-12840,19781006,영업/정상,39.54,135842,서울특별시 강남구 대치동 974-1번지 ,서울특별시 강남구 삼성로 324 (대치동),취화선,중국식,205247.28025291     ,444294.591159178    ,아파트지역,상수도전용,대치동,
9,3220000-101-1978-16489,19781017,영업/정상,49.24,135915,서울특별시 강남구 역삼동 678-11번지 ,서울특별시 강남구 테헤란로27길 12 (역삼동),삼성식당,한식,203297.491333425    ,444452.295925353    ,유흥업소밀집지역,상수도전용,역삼동,
10,3220000-101-1978-17321,19780610,영업/정상,67.75,135903,서울특별시 강남구 압구정동 454번지 ,"서울특별시 강남구 압구정로29길 72-1, 지상1층 B2호 (압구정동)",향촌면옥,한식,202440.338882233    ,447782.51322707     ,아파트지역,상수도전용,압구정동,모범식당지정
11,3220000-101-1978-17610,19781215,영업/정상,34.70,135997,서울특별시 강남구 대치동 912-23 우진빌딩 ,"서울특별시 강남구 삼성로 349, 우진빌딩 지상1층 1호 (대치동)",미스터피자 대치점,한식,205101.289679757    ,444497.311504189    ,주택가주변,상수도전용,대치동,
12,3220000-101-1978-18002,19780828,영업/정상,70.46,135887,서울특별시 강남구 신사동 513-4번지 ,서울특별시 강남구 도산대로 113 (신사동),우신설농탕,한식,201773.37           ,446087.16           ,아파트지역,상수도전용,신사동,
13,3220000-101-1979-12835,19790818,영업/정상,187.15,135838,서울특별시 강남구 대치동 626-205번지 ,,송원,중국식,,,주택가주변,상수도전용,대치동,
14,3220000-101-1979-12868,19790904,영업/정상,130.25,135881,서울특별시 강남구 삼성동 166-8번지 ,서울특별시 강남구 영동대로96길 37 (삼성동),베이징,한식,205724.877921859    ,445498.758353056    ,주택가주변,상수도전용,삼성동,
15,3220000-101-1980-04513,19801223,영업/정상,20.00,135835,서울특별시 강남구 대치동 280-4번지 ,,삼해정,전통찻집,,,주택가주변,상수도전용,대치동,
16,3220000-101-1980-13015,19800813,영업/정상,48.18,135831,서울특별시 강남구 논현동 237-0번지 ,서울특별시 강남구 봉은사로37길 14 (논현동),고향집,중국식,203175.63878024     ,445233.806285677    ,주택가주변,상수도전용,논현동,
17,3220000-101-1981-00057,19811106,영업/정상,"2,594.15",135895,서울특별시 강남구 신사동 623-5 삼원가든,"서울특별시 강남구 언주로 835, 삼원가든 다동 지상1,2,3층 (신사동)",삼원가든,한식,202818.115731425,446970.562100973,,,신사동,
18,3220000-101-1981-05967,19811205,영업/정상,27.00,135969,서울특별시 강남구 대치동 316-0번지 은마상가 A-동 110호,"서울특별시 강남구 삼성로 212, A-동 110호 (대치동,은마상가)",마미치킨,한식,205707.089399978    ,443914.194133105    ,아파트지역,상수도전용,대치동,
19,3220000-101-1981-05970,19810331,영업/정상,27.84,135969,서울특별시 강남구 대치동 276-14번지 은마상가 115호,,애주의집,분식,,,아파트지역,상수도전용,대치동,
20,3220000-101-1981-06770,19810611,영업/정상,103.59,135887,서울특별시 강남구 신사동 512-20번지 ,서울특별시 강남구 강남대로152길 9 (신사동),마산옥,한식,201718.922834407    ,446115.450554852    ,주택가주변,상수도전용,신사동,
21,3220000-101-1981-10640,19810526,영업/정상,213.71,135090,"서울특별시 강남구 삼성동 58-2번지 ,3 ","서울특별시 강남구 영동대로 647 (삼성동,,3)",벨버드,경양식,204936.566579531    ,446389.869325086    ,주택가주변,상수도전용,삼성동,
22,3220000-101-1981-12915,1981-01-29,영업/정상,28.80,135-930,서울특별시 강남구 역삼동 797-4,서울특별시 강남구 논현로 333 (역삼동),역삼농원 닭도리,한식,203420.877763246,443621.092003674,,,역삼동,
23,3220000-101-1981-15933,19810731,영업/정상,45.37,135881,서울특별시 강남구 삼성동 166-6번지 ,서울특별시 강남구 봉은사로114길 42 (삼성동),일미쌈밥,한식,205707.361024519    ,445550.602656568    ,주택가주변,상수도전용,삼성동,
24,3220000-101-1981-17300,19810910,영업/정상,17.72,135894,서울특별시 강남구 신사동 615-1번지 ,서울특별시 강남구 압구정로 216 (신사동),영광,한식,202672.379135431    ,447313.362226154    ,주택가주변,상수도전용,신사동,
25,3220000-101-1981-17598,19810703,영업/정상,52.56,135831,서울특별시 강남구 논현동 237-5번지 ,서울특별시 강남구 언주로 605 (논현동),짱이네,한식,203219.16612821     ,445239.405224044    ,주택가주변,상수도전용,논현동,
26,3220000-101-1981-17644,19810317,영업/정상,41.84,135917,서울특별시 강남구 역삼동 689-7번지 ,서울특별시 강남구 언주로 534 (역삼동),치킨뱅이,한식,203599.250676847    ,444863.862847381    ,유흥업소밀집지역,상수도전용,역삼동,
27,3220000-101-1981-17972,19810522,영업/정상,52.07,135841,서울특별시 강남구 대치동 908-2번지 외1필지지상1층102호 ,"서울특별시 강남구 역삼로 406 (대치동,외1필지지상1층102호)",신흥식당,한식,204492.683276536    ,444260.001202994    ,아파트지역,상수도전용,대치동,
28,3220000-101-1981-20028,19810811,영업/정상,111.95,135881,서울특별시 강남구 삼성동 166-6번지 ,서울특별시 강남구 봉은사로114길 42 (삼성동),현대이모네2,한식,205707.361024519    ,445550.602656568    ,기타,상수도전용,삼성동,
29,3220000-101-1982-04486,19820914,영업/정상,24.74,135920,서울특별시 강남구 역삼동 721-24번지 ,,이동분식쎈타,한식,203766.650296316    ,444251.539352277    ,기타,상수도전용,역삼동,
30,3220000-101-1982-04514,19820329,영업/정상,30.55,135280,서울특별시 강남구 대치동 131-0번지 은마    2동  219호,,진선미,전통찻집,,,주택가주변,상수도전용,대치동,
31,3220000-101-1982-05966,19820903,영업/정상,57.80,135843,서울특별시 강남구 대치동 922-0번지 ,서울특별시 강남구 선릉로 326 (대치동),광장,분식,204537.268564459    ,444062.784305557    ,아파트지역,상수도전용,대치동,
32,3220000-101-1982-06637,19821116,영업/정상,22.08,135240,서울특별시 강남구 개포동 0번지 ,,삼일분식,분식,,,아파트지역,상수도전용,개포동,
33,3220000-101-1982-06998,19821110,영업/정상,32.54,135190,서울특별시 강남구 세곡동 96-2번지 ,서울특별시 강남구 밤고개로31길 9 (세곡동),정육점식당,분식,209606.298325623    ,440360.549984704    ,주택가주변,상수도전용,세곡동,
34,3220000-101-1982-07012,19820904,영업/정상,25.26,135190,서울특별시 강남구 세곡동 124-2번지 ,서울특별시 강남구 밤고개로34길 4 (세곡동),페리카나,분식,209423.649311203    ,440208.558412381    ,주택가주변,상수도전용,세곡동,
35,3220000-101-1982-11747,19820821,영업/정상,100.06,135816,서울특별시 강남구 논현동 65-17 지상1층,"서울특별시 강남구 도산대로30길 15 (논현동,지상1층)",목련식당,경양식,202568.700132724,446292.506008917,,,논현동,
36,3220000-101-1982-15905,19820420,영업/정상,61.12,135864,서울특별시 강남구 삼성동 8-1번지 ,서울특별시 강남구 선릉로 664 (삼성동),청담면옥,한식,203668.690729336    ,445963.940248082    ,주택가주변,상수도전용,삼성동,
37,3220000-101-1982-15907,19820709,영업/정상,52.26,135881,서울특별시 강남구 삼성동 166-6번지 ,서울특별시 강남구 봉은사로114길 42 (삼성동),두루치기 유선생,한식,205707.361024519    ,445550.602656568    ,주택가주변,상수도전용,삼성동,
38,3220000-101-1982-15908,19820726,영업/정상,45.57,135864,서울특별시 강남구 삼성동 9-6번지 ,서울특별시 강남구 학동로56길 32 (삼성동),우츠와,한식,203718.456986689    ,445879.074926984    ,주택가주변,상수도전용,삼성동,
39,3220000-101-1982-15910,19821109,영업/정상,212.33,135873,서울특별시 강남구 삼성동 107-5번지 외2필지 ,"서울특별시 강남구 영동대로112길 10 (삼성동,외2필지)",삼환,한식,205313.788359606    ,445854.851731672    ,주택가주변,상수도전용,삼성동,
40,3220000-101-1982-15945,19820904,영업/정상,23.94,135190,서울특별시 강남구 세곡동 124-2번지 ,서울특별시 강남구 밤고개로34길 4 (세곡동),봉림장,한식,209423.649311203    ,440208.558412381    ,주택가주변,상수도전용,세곡동,
41,3220000-101-1982-15946,19821105,영업/정상,25.04,135190,서울특별시 강남구 세곡동 99-11번지 ,서울특별시 강남구 밤고개로31길 9 (세곡동),남주식당,한식,209590.56842333     ,440377.184328629    ,주택가주변,상수도전용,세곡동,
42,3220000-101-1982-15947,19821105,영업/정상,27.03,135190,서울특별시 강남구 세곡동 96-1번지 ,"서울특별시 강남구 밤고개로31길 9, 지상1층 12호 (세곡동, 취락구조)",해품달,한식,209628.773156947    ,440361.989121116    ,주택가주변,상수도전용,세곡동,
43,3220000-101-1982-17109,19820519,영업/정상,30.40,135825,서울특별시 강남구 논현동 164-11,서울특별시 강남구 강남대로 506 (논현동),빽다방(논현영동시장점),분식,202008.512682196,445032.337435713,,,논현동,
44,3220000-101-1982-17303,19820303,영업/정상,43.10,135894,서울특별시 강남구 신사동 615-1 ,서울특별시 강남구 압구정로 216 (신사동),인생카츠,한식,202672.379135431    ,447313.362226154    ,주택가주변,상수도전용,신사동,
45,3220000-101-1982-17937,1982-04-21,영업/정상,144.00,135-825,서울특별시 강남구 논현동 165-16 호서빌딩,"서울특별시 강남구 봉은사로1길 37, 호서빌딩 지상1층 (논현동)",60년전통 신촌황소곱창(논현점),한식,202051.111239398,444990.886961711,,,논현동,
46,3220000-101-1982-17974,19821016,영업/정상,66.59,135825,서울특별시 강남구 논현동 143-10번지 ,서울특별시 강남구 학동로2길 30 (논현동),삼미,한식,201956.872486637    ,445249.618642292    ,주택가주변,상수도전용,논현동,
47,3220000-101-1982-20431,19820122,영업/정상,37.38,135881,서울특별시 강남구 삼성동 166-6,서울특별시 강남구 봉은사로114길 42 (삼성동),맛나 행복한밥상,한식,205707.361024519,445550.602656568,,,삼성동,
48,3220000-101-1983-05744,19831017,영업/정상,20.16,135969,서울특별시 강남구 대치동 316-0번지 은마상가 A브럭 7-6 ,"서울특별시 강남구 삼성로 212 (대치동,은마상가 A브럭 7-6)",사랑의집,한식,205707.089399978    ,443914.194133105    ,주택가주변,상수도전용,대치동,
49,3220000-101-1983-05940,19830715,영업/정상,57.74,135501,서울특별시 강남구 대치동 994-16번지 ,서울특별시 강남구 영동대로 219 (대치동),미소야,분식,205969.3237202      ,444018.581768126    ,아파트지역,상수도전용,대치동,
50,3220000-101-1983-11018,19831227,영업/정상,41.34,135915,서울특별시 강남구 역삼동 677-11번지 트리아관광호텔 ,"서울특별시 강남구 테헤란로33길 16, 트리아관광호텔 지상1층 (역삼동)",트리아관광호텔,경양식,203414.8682942      ,444515.570280103    ,유흥업소밀집지역,상수도전용,역삼동,
51,3220000-101-1983-12024,1983-04-19,영업/정상,93.64,135-892,서울특별시 강남구 신사동 578-3,"서울특별시 강남구 논현로175길 15, 1,2층 (신사동)",브라운팟 더블랙,한식,202352.367994529,447069.214058,,,신사동,
52,3220000-101-1983-13028,19830916,영업/정상,448.79,135933,서울특별시 강남구 역삼동 833번지 ,"서울특별시 강남구 역삼로 118, 지상2층 (역삼동)",대려도,중국식,202763.19758261     ,443461.085900872    ,유흥업소밀집지역,상수도전용,역삼동,
53,3220000-101-1983-15620,19830419,영업/정상,106.52,135835,서울특별시 강남구 대치동 235-2번지 ,,사리원,한식,,,주택가주변,상수도전용,대치동,
54,3220000-101-1983-17538,19830624,영업/정상,22.11,135890,서울특별시 강남구 신사동 559-16번지 ,서울특별시 강남구 논현로151길 26 (신사동),양구식당,한식,202236.324729821    ,446413.790142822    ,주택가주변,상수도전용,신사동,
55,3220000-101-1983-18173,19831220,영업/정상,87.17,135917,서울특별시 강남구 역삼동 696-27번지 지상1층 ,"서울특별시 강남구 선릉로99길 5 (역삼동,지상1층)",무한장어,한식,204093.29176855     ,444921.487816141    ,기타,상수도전용,역삼동,
56,3220000-101-1983-22523,19831223,영업/정상,77.35,135859,서울특별시 강남구 도곡동 942-9 ,"서울특별시 강남구 강남대로58길 19, 1층 (도곡동)",고래똥,한식,202908.551088019    ,443054.69105273     ,아파트지역,상수도전용,도곡동,
57,3220000-101-1984-05937,19840407,영업/정상,35.55,135969,서울특별시 강남구 대치동 316번지 은마상가 A블럭 지층 56-3 ,"서울특별시 강남구 삼성로 212, 지층 56-3호 (대치동, 은마상가 A블럭)",금강족발전문점,한식,205707.089399978    ,443914.194133105    ,아파트지역,상수도전용,대치동,
58,3220000-101-1984-05946,19840220,영업/정상,7.43,135834,서울특별시 강남구 대치동 45-0번지 한보종합   45호,,미도분식,분식,,,주택가주변,상수도전용,대치동,
59,3220000-101-1984-05949,19840316,영업/정상,29.64,135834,서울특별시 강남구 대치동 11-12번지 ,,장터국수,분식,,,주택가주변,상수도전용,대치동,
60,3220000-101-1984-06751,19841101,영업/정상,31.68,135890,서울특별시 강남구 신사동 562-10번지 ,서울특별시 강남구 도산대로25길 11 (신사동),홍반장신의주찹쌀순대,한식,202337.286731271    ,446485.907393441    ,주택가주변,상수도전용,신사동,
61,3220000-101-1984-11717,1984-12-30,영업/정상,184.04,135-887,서울특별시 강남구 신사동 506,"서울특별시 강남구 도산대로1길 62, 지하1층 103호 (신사동)",알집모닝메이트,경양식,201646.385389914,446500.659086572,,,신사동,
62,3220000-101-1984-11719,19841227,영업/정상,49.60,135894,서울특별시 강남구 신사동 614-3번지 ,서울특별시 강남구 압구정로 210 (신사동),태임,경양식,202598.905          ,447271.99           ,주택가주변,상수도전용,신사동,
63,3220000-101-1984-12282,19840613,영업/정상,73.40,135892,서울특별시 강남구 신사동 578-0번지 ,서울특별시 강남구 논현로175길 19 (신사동),카스앤락,경양식,202328.251544216    ,447054.228215339    ,주택가주변,상수도전용,신사동,
64,3220000-101-1984-12814,19840308,영업/정상,201.30,135843,서울특별시 강남구 대치동 922-23 라이온스빌딩 지상2층 ,"서울특별시 강남구 선릉로64길 5, 지상2층 (대치동)",일품향,중국식,204586.859965117    ,443967.274761047    ,학교정화(절대),상수도전용,대치동,
65,3220000-101-1984-12819,19840619,영업/정상,49.50,135501,서울특별시 강남구 대치동 994-8번지 지상1층 ,"서울특별시 강남구 영동대로 221 (대치동,지상1층)",남경반점,중국식,205949.394262765    ,444056.742906136    ,아파트지역,상수도전용,대치동,
66,3220000-101-1984-13019,19841112,영업/정상,78.72,135890,"서울특별시 강남구 신사동 549-9 에덴상가지상1층10,11호 ","서울특별시 강남구 논현로175길 68 (신사동,에덴상가지상1층10,11호)",시골밥상신사점,한식,202002.383749969    ,446874.77222438     ,주택가주변,상수도전용,신사동,
67,3220000-101-1984-15003,19840531,영업/정상,58.50,135881,서울특별시 강남구 삼성동 166-6 ,서울특별시 강남구 봉은사로114길 42 (삼성동),서해쭈꾸미,한식,205707.361024519    ,445550.602656568    ,기타,상수도전용,삼성동,
68,3220000-101-1984-15260,19840719,영업/정상,40.50,135994,서울특별시 강남구 개포동 186-12,서울특별시 강남구 개포로82길 7 (개포동),원조식당,한식,205884.374131265,442955.266910236,,,개포동,
69,3220000-101-1984-15873,19840919,영업/정상,155.81,135871,서울특별시 강남구 삼성동 76-10,"서울특별시 강남구 영동대로115길 10, 지하1층, 지상1층 (삼성동)",주식회사곰바우,한식,205129.009567755,445852.301626098,,,삼성동,모범식당지정
70,3220000-101-1984-15901,19840615,영업/정상,81.40,135865,서울특별시 강남구 삼성동 54-9번지 지상1층 ,"서울특별시 강남구 학동로82길 15 (삼성동,지상1층)",상아,한식,204506.433289927    ,446196.987323989    ,아파트지역,상수도전용,삼성동,
71,3220000-101-1984-16459,19841022,영업/정상,35.52,135913,서울특별시 강남구 역삼동 662-11번지 .14 ,"서울특별시 강남구 언주로 537 (역삼동,.14)",황금정,한식,203513.784135232    ,444845.418989056    ,주택가주변,상수도전용,역삼동,
72,3220000-101-1984-16573,19840504,영업/정상,96.39,135953,서울특별시 강남구 청담동 71-20,서울특별시 강남구 영동대로137길 3 (청담동),파파호,한식,204814.806821489,446616.897184947,,,청담동,모범식당지정
73,3220000-101-1984-16854,19840709,영업/정상,"1,729.10",135819,서울특별시 강남구 논현동 91-18,서울특별시 강남구 도산대로 304 (논현동),한우리외식산업(주),한식,202997.623155335,446553.158823624,,,논현동,모범식당지정
74,3220000-101-1984-17543,19840504,영업/정상,46.20,135888,서울특별시 강남구 신사동 522-6 지상1층 ,"서울특별시 강남구 강남대로162길 21 (신사동,지상1층)",레호이,한식,201715.020704835    ,446446.562910512    ,주택가주변,상수도전용,신사동,
75,3220000-101-1984-17724,19840316,영업/정상,124.69,135860,서울특별시 강남구 도곡동 945번지 ,"서울특별시 강남구 도곡로4길 10, 지상2층 (도곡동)",한강수 정육식당,한식,202875.55664351     ,443013.408187759    ,주택가주변,상수도전용,도곡동,
76,3220000-101-1984-17884,1984-11-16,영업/정상,18.27,135-891,서울특별시 강남구 신사동 574-8,서울특별시 강남구 논현로175길 40 (신사동),길손,한식,202169.538693699,446983.990933567,,,신사동,
77,3220000-101-1984-18166,19841128,영업/정상,184.28,135812,서울특별시 강남구 논현동 7-20 ,서울특별시 강남구 논현로149길 6 (논현동),(주)삼다연,한식,202388.649307026    ,446285.291860179    ,유흥업소밀집지역,상수도전용,논현동,
78,3220000-101-1984-20868,19840507,영업/정상,115.66,135515,서울특별시 강남구 역삼동 785-13번지 ,서울특별시 강남구 언주로 301 (역삼동),삼도,일식,204020.63249169     ,443580.433522192    ,유흥업소밀집지역,상수도전용,역삼동,
79,3220000-101-1984-22234,19841205,영업/정상,26.13,135891,서울특별시 강남구 신사동 577-0번지 ,서울특별시 강남구 논현로175길 25 (신사동),아라도,일식,202289.384482664    ,447021.674049162    ,주택가주변,상수도전용,신사동,
80,3220000-101-1985-05916,19851203,영업/정상,60.84,135500,서울특별시 강남구 대치동 1021-14번지 ,서울특별시 강남구 삼성로57길 22 (대치동),필,한식,205170.258080996    ,443960.709471703    ,주택가주변,상수도전용,대치동,
81,3220000-101-1985-06074,19850318,영업/정상,31.08,135869,서울특별시 강남구 삼성동 52번지 ,서울특별시 강남구 삼성로 654 (삼성동),부산오뎅,호프/통닭,204415.649463094    ,446263.403521675    ,주택가주변,상수도전용,삼성동,
82,3220000-101-1985-06340,19850419,영업/정상,21.49,135952,서울특별시 강남구 청담동 49-8번지 2동지상1층1다호 ,"서울특별시 강남구 도산대로 514 (청담동,2동지상1층1다호)",옛날순대국,한식,204283.727260462    ,446864.739327567    ,주택가주변,상수도전용,청담동,
83,3220000-101-1985-06450,19850516,영업/정상,119.54,135816,서울특별시 강남구 논현동 62-13번지 ,서울특별시 강남구 언주로 735 (논현동),한성국수,분식,202908.172497688    ,446506.036610977    ,주택가주변,상수도전용,논현동,
84,3220000-101-1985-06643,19850812,영업/정상,52.20,135510,서울특별시 강남구 압구정동 456번지 ,"서울특별시 강남구 압구정로 201, 1층 19호 (압구정동)",캘리포니아뜰,분식,202485.226490575    ,447521.520319158    ,아파트지역,상수도전용,압구정동,
85,3220000-101-1985-06756,19850711,영업/정상,41.50,135888,서울특별시 강남구 신사동 515-0,서울특별시 강남구 압구정로2길 59 (신사동),태공치킨,분식,201838.510103016,446206.70963216,,,신사동,
86,3220000-101-1985-07623,1985-08-28,영업/정상,226.24,135-907,서울특별시 강남구 역삼동 604-11,서울특별시 강남구 봉은사로 150 (역삼동),삼정한식당,일식,202699.226067088,444846.764226016,,,역삼동,
87,3220000-101-1985-07673,1985-10-29,영업/정상,30.68,135-819,서울특별시 강남구 논현동 98-12,서울특별시 강남구 언주로148길 14 (논현동),청국장전문점,한식,203121.203642767,446464.379990564,,,논현동,
88,3220000-101-1985-07750,19851214,영업/정상,340.50,135900,서울특별시 강남구 압구정동 429-0 현대백화점 05-7,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점 05-7)",이즈미,한식,202358.505687227,447232.955697694,,,압구정동,모범식당지정
89,3220000-101-1985-10598,19851012,영업/정상,75.62,135867,서울특별시 강남구 삼성동 35-6 ,서울특별시 강남구 선릉로 614 (삼성동),수락정김밥,일식,203788.901323236    ,445499.430306181    ,주택가주변,상수도전용,삼성동,
90,3220000-101-1985-11975,19850430,영업/정상,23.04,135891,서울특별시 강남구 신사동 577-0번지 ,서울특별시 강남구 논현로175길 25 (신사동),방추,경양식,202289.384482664    ,447021.674049162    ,주택가주변,상수도전용,신사동,
91,3220000-101-1985-12846,19850516,영업/정상,35.12,135864,서울특별시 강남구 삼성동 8-1 ,서울특별시 강남구 선릉로 664 (삼성동),북경,한식,203668.690729336    ,445963.940248082    ,아파트지역,상수도전용,삼성동,
92,3220000-101-1985-12953,19850409,영업/정상,62.95,135833,서울특별시 강남구 논현동 277-0번지 ,서울특별시 강남구 봉은사로43길 8 (논현동),자금성,중국식,203464.389701575    ,445287.418259369    ,아파트지역,상수도전용,논현동,
93,3220000-101-1985-15334,19850318,영업/정상,96.00,135857,서울특별시 강남구 도곡동 540번지 삼호상가지하10호 ,"서울특별시 강남구 도곡로 242 (도곡동,삼호상가지하10호)",청솔관,한식,203999.743138593    ,443486.1161573      ,아파트지역,상수도전용,도곡동,
94,3220000-101-1985-15337,19850827,영업/정상,102.88,135500,서울특별시 강남구 대치동 1021-14번지 (도곡532-14->87.12.31서울시조례2251호의거동명칭및지번변경) ,"서울특별시 강남구 삼성로57길 22 (대치동,(도곡532-14->87.12.31서울시조례2251호의거동명칭및지번변경))",해남세발낙지,한식,205170.258080996    ,443960.709471703    ,아파트지역,상수도전용,대치동,
95,3220000-101-1985-15586,19850205,영업/정상,250.32,135501,서울특별시 강남구 대치동 989-5번지 ,서울특별시 강남구 삼성로58길 9 (대치동),미락전복,한식,205413.679784965    ,444059.557311856    ,주택가주변,상수도전용,대치동,
96,3220000-101-1985-16348,19851224,영업/정상,202.92,135900,서울특별시 강남구 압구정동 429번지 현대백화점 5층 ,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점 5층)",나의가야,한식,202358.505687227    ,447232.955697694    ,아파트지역,상수도전용,압구정동,
97,3220000-101-1985-16486,19850702,영업/정상,857.93,135953,서울특별시 강남구 청담동 68-7번지 ,서울특별시 강남구 영동대로 725 (청담동),(주)청담푸드빌(청담복집)(신의주찹쌀순대),한식,204802.926536616    ,446693.113699792    ,아파트지역,상수도전용,청담동,모범식당지정
98,3220000-101-1985-16551,19850603,영업/정상,30.71,135957,서울특별시 강남구 청담동 124-15번지 지상1층 ,"서울특별시 강남구 도산대로89길 9 (청담동,지상1층)",부흥식당,한식,204393.810164041    ,447008.489478593    ,아파트지역,상수도전용,청담동,
99,3220000-101-1985-17247,19851018,영업/정상,109.62,135894,서울특별시 강남구 신사동 610-1번지 ,서울특별시 강남구 논현로 874 (신사동),베이징덕,중국식,202478.850987373    ,447147.920674705    ,주택가주변,상수도전용,신사동,
100,3220000-101-1985-17423,1985-12-27,영업/정상,95.87,135-900,서울특별시 강남구 압구정동 429,서울특별시 강남구 압구정로 165 (압구정동),솜리,한식,202358.505687227,447232.955697694,,,압구정동,
101,3220000-101-1985-17501,1985-10-08,영업/정상,92.03,135-890,서울특별시 강남구 신사동 550-3,서울특별시 강남구 압구정로14길 11 (신사동),현대낙지집,한식,201995.934524847,446819.471308723,,,신사동,모범식당지정
102,3220000-101-1985-17521,19850206,영업/정상,311.74,135887,서울특별시 강남구 신사동 503-2번지 ,서울특별시 강남구 강남대로 632 (신사동),축복회관,한식,201650.787158848    ,446226.277738975    ,주택가주변,상수도전용,신사동,
103,3220000-101-1985-17928,19851118,영업/정상,708.00,135818,서울특별시 강남구 논현동 89-10번지 ,서울특별시 강남구 학동로 231 (논현동),남포면옥,한식,202955.588156835    ,445927.244036053    ,주택가주변,상수도전용,논현동,
104,3220000-101-1985-22430,1985-12-14,영업/정상,312.76,135-900,서울특별시 강남구 압구정동 429-0 현대백화점 지상5층,"서울특별시 강남구 압구정로 165 (압구정동,현대백화점 지상5층)",도원style 압구정점,중국식,202358.505687227,447232.955697694,,,압구정동,
105,3220000-101-1986-04685,19860721,영업/정상,59.50,135509,서울특별시 강남구 삼성동 119-0번지 지상1층 ,"서울특별시 강남구 봉은사로 478 (삼성동,지상1층)",비어시티,호프/통닭,204598.727206064    ,445594.572229935    ,아파트지역,상수도전용,삼성동,
106,3220000-101-1986-05886,19860325,영업/정상,35.40,135851,서울특별시 강남구 대치동 1007-3번지 ,서울특별시 강남구 영동대로 330 (대치동),총회회관구내,분식,205794.285315312    ,444673.013471693    ,주택가주변,상수도전용,대치동,
107,3220000-101-1986-07814,19860409,영업/정상,97.75,135933,서울특별시 강남구 역삼동 823-0번지 ,서울특별시 강남구 테헤란로 124 (역삼동),청목,한식,202722.53183055     ,444055.07069569     ,유흥업소밀집지역,상수도전용,역삼동,
108,3220000-101-1986-07823,1986-09-23,영업/정상,376.61,135-932,서울특별시 강남구 역삼동 818-8,"서울특별시 강남구 강남대로94길 21, 지하1층 (역삼동)",차슈밍,중국식,202491.248721223,444170.949037919,,,역삼동,모범식당지정
109,3220000-101-1986-11268,19860609,영업/정상,62.87,135833,서울특별시 강남구 논현동 273-16번지 ,서울특별시 강남구 언주로114길 17 (논현동),청송숯불화로구이,한식,203381.436867469    ,445341.368712817    ,주택가주변,상수도전용,논현동,
110,3220000-101-1986-11276,19860919,영업/정상,35.92,135821,서울특별시 강남구 논현동 113-25,서울특별시 강남구 언주로134길 29 (논현동),포트캔커피 강남구청점(PORT CAN COFFEE),한식,203282.682257793,446099.498941281,,,논현동,
111,3220000-101-1986-11282,19860108,영업/정상,41.86,135833,서울특별시 강남구 논현동 277-27번지 ,서울특별시 강남구 봉은사로 303 (논현동),예원,경양식,203479.293031865    ,445256.313474871    ,주택가주변,상수도전용,논현동,
112,3220000-101-1986-11903,19861231,영업/정상,62.49,135891,서울특별시 강남구 신사동 577-12번지 ,서울특별시 강남구 압구정로28길 18 (신사동),목로,한식,202367.672417478    ,447026.660213341    ,주택가주변,상수도전용,신사동,
