,MGTNO,APVPERMYMD,TRDSTATENM,SITEAREA,SITEPOSTNO,SITEWHLADDR,RDNWHLADDR,BPLCNM,UPTAENM,X,Y,TRDPJUBNSENM,WTRSPLYFACILSENM,dong,exemplary_diner
9190,3220000-101-2021-00593,20210521,영업/정상,223.22,135887,서울특별시 강남구 신사동 501 신사미타워 ,"서울특별시 강남구 강남대로 616, 신사미타워 지상18층 (신사동)",씨엘33,경양식,201677.925882649    ,446068.442585795    ,,,신사동,
9191,3220000-101-2021-00595,20210524,영업/정상,161.40,135825,서울특별시 강남구 논현동 165-8 한맥빌딩 ,"서울특별시 강남구 강남대로 492, 한맥빌딩 지상2층 (논현동)",엔 커피 스튜디오(N coffee studio),기타,202062.217390025    ,444888.001652112    ,,,논현동,
9192,3220000-101-2021-00596,20210524,영업/정상,167.05,135952,서울특별시 강남구 청담동 49-5 신한 오피스텔 ,"서울특별시 강남구 도산대로 510, 신한 오피스텔 지상1층 (청담동)",도성일식,일식,204250.997934687    ,446861.017877607    ,,,청담동,
9193,3220000-101-2021-00599,20210524,영업/정상,20.50,135220,서울특별시 강남구 수서동 214-2 수서역사 ,"서울특별시 강남구 밤고개로 99, SR수서역사내 맞이방 지하1층 (수서동)",엔제리너스커피 에스알수서역사(특설),기타,209148.486125918    ,442656.13583135     ,,,수서동,
9194,3220000-101-2021-00600,2021-05-24,영업/정상,142.79,135-896,서울특별시 강남구 신사동 645-1 히든하우스,"서울특별시 강남구 언주로168길 16, 히든하우스 지상3층 (신사동)",스시토우,일식,203018.030419668,447101.963504926,,,신사동,
9195,3220000-101-2021-00601,20210524,영업/정상,144.67,135928,서울특별시 강남구 역삼동 774-43 ,"서울특별시 강남구 도곡로37길 45, 지상1층 (역삼동)",우리식당,한식,203848.249311066    ,443834.310545284    ,,,역삼동,
9196,3220000-101-2021-00602,20210524,영업/정상,116.39,135910,서울특별시 강남구 역삼동 644-1 삼아빌딩 ,"서울특별시 강남구 논현로95길 29-11, 삼아빌딩 지상1층 (역삼동)",해운대 대구탕(역삼점),한식,202949.719549954    ,444340.382640886    ,,,역삼동,
9197,3220000-101-2021-00603,20210524,영업/정상,33.06,135825,서울특별시 강남구 논현동 159-16 ,"서울특별시 강남구 학동로6길 50, 지상1층 103호 (논현동)",통삼집,한식,202260.016870937    ,445224.723600838    ,,,논현동,
9198,3220000-101-2021-00604,2021-05-24,영업/정상,94.68,135-947,서울특별시 강남구 일원동 717 삼성생명 일원역 빌딩,"서울특별시 강남구 일원로 115, 삼성생명 일원역 빌딩 지상1층 111호 (일원동)",설빙 일원역점,기타,207399.55165484,442426.399301013,,,일원동,
9199,3220000-101-2021-00605,20210524,영업/정상,94.41,135888,서울특별시 강남구 신사동 524-23 ,"서울특별시 강남구 압구정로10길 30-9, 지하1층 (신사동)",에드엣(add.),경양식,201831.280624569    ,446648.057572929    ,,,신사동,
9200,3220000-101-2021-00606,20210524,영업/정상,259.39,135875,서울특별시 강남구 삼성동 140-3 선릉대림아크로텔 ,"서울특별시 강남구 선릉로 524, 선릉대림아크로텔 지상1층 107호 (삼성동)",맛자랑,한식,204181.823243711    ,444950.728644939    ,,,삼성동,
9201,3220000-101-2021-00607,20210525,영업/정상,50.00,135962,서울특별시 강남구 개포동 1212-7 ,"서울특별시 강남구 개포로36길 4-4, 지상1층 103호 (개포동)",피자나라치킨공주 개포점,분식,204402.089762824    ,441863.115952009    ,,,개포동,
9202,3220000-101-2021-00608,20210525,영업/정상,82.40,135220,서울특별시 강남구 수서동 214-2 수서역사 ,"서울특별시 강남구 밤고개로 99, 수서역사 지하2층 SB26-3호 (수서동)",엔제리너스커피 수서환승통로점,기타,209148.486125918    ,442656.13583135     ,,,수서동,
9203,3220000-101-2021-00610,2021-05-25,영업/정상,16.17,135-829,서울특별시 강남구 논현동 221-7 한양수자인 어반게이트,"서울특별시 강남구 봉은사로29길 35, 지하2층 B201,B202,B203호 주방11호 (논현동, 한양수자인 어반게이트)",딘딘향 마라탕&마라샹궈 논현점,중국식,202894.296172644,445277.723124229,,,논현동,
9204,3220000-101-2021-00611,20210525,영업/정상,99.62,135919,서울특별시 강남구 역삼동 708-35 호텔 뉴브 ,"서울특별시 강남구 선릉로85길 6, 호텔 뉴브 지상1층 (역삼동)",비건비거닝(Vegan Veganing),기타,204272.802698096    ,444535.336141507    ,,,역삼동,
9205,3220000-101-2021-00613,2021-05-25,영업/정상,45.99,135-935,서울특별시 강남구 역삼동 826-37 쌍용플래티넘밸류,"서울특별시 강남구 테헤란로4길 46, 지하1층 비 상가145호 (역삼동, 쌍용플래티넘밸류)",떠빱,한식,202619.098126049,443688.691713202,,,역삼동,
9206,3220000-101-2021-00615,20210525,영업/정상,156.14,135896,서울특별시 강남구 신사동 636-18,"서울특별시 강남구 압구정로42길 22, 지상1층 (신사동)",크라이베이비,경양식,203016.674278398,447249.821877475,,,신사동,
